PicoQuant CPDL-S-F

HW-Rev.:	PQ.033.5200.0101
Serial-Num.:	916065:01037578
Ser.-Num. SEED LD:	21391:01035837
Ser.-Num. PUMP LD:	xxxxx:xxxxxxxx
Production Date:	03.04.2019
FW-Version:	0.98

Date	Time	STATE	SysHour	SysTemp	VCCIN	CURIN	PWRIN	SOURCE	EXT	INT	VCC	BOOST	REG	NBA	NBB	TEMP	setNBA	setNBB	setSMF	setSEF	setSEV	setSEC		Main power supply pump	Voltage at monitor diode	Pump temperature	Pump current	Stored value for REG	Stored value for Offset	Stored seed temperature	Stored pump temperature	Stored pump current
			h	oC	mV	mA	mW		Hz	Hz	mV	mV	mV	mV	mV	oC	mV	mV	Hz	Hz	mV			--	--	--	--	--	--	--	--	--
2019-10-08	10:56:52.545	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04992	00000	00007	03498	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:53.718	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04994	00000	00007	03504	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:54.892	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04996	00000	00007	03502	03506	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:56.063	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00015	03506	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:57.235	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04992	00000	00007	03500	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:58.411	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03508	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:56:59.583	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03504	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:00.758	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03504	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:01.937	IDLE	0000000473	22633	12352	00168	02075	EXT	0000000000	0080000000	04994	00000	00007	03499	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:03.112	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03511	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:04.286	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03507	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:05.458	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04992	00000	00007	03510	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:06.639	IDLE	0000000473	22388	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00015	03503	03507	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:07.814	IDLE	0000000473	22879	12347	00168	02074	EXT	0000000000	0080000000	04992	00000	00007	03510	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:08.987	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04992	00000	00007	03510	03503	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:10.159	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03500	03504	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:11.335	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03504	03506	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:12.507	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03506	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:13.680	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03500	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:14.851	IDLE	0000000473	22879	12352	00168	02075	EXT	0000000000	0080000000	04994	00000	00007	03500	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:16.027	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03502	03503	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:17.201	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03502	03504	46984	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:18.378	IDLE	0000000473	22633	12347	00168	02074	EXT	0000000000	0080000000	04994	00000	00007	03507	03504	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:25.543	WORKING	0000000473	22633	12257	00843	10332	INT	0000000000	0080000000	04994	30507	24420	03500	03507	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-10-08	10:57:26.715	WORKING	0000000473	22633	12261	00843	10336	INT	0000000000	0080000000	04994	30492	24420	03508	03507	47004	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
